2025-10-23 13:48:33,370 - INFO - Loading books from ../../data/processed/sample_50_books.csv
2025-10-23 13:48:33,378 - INFO - Robust automated searcher initialized
2025-10-23 13:48:33,378 - INFO - Starting robust automated search for 2 books
2025-10-23 13:49:44,476 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:44,541 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:44,597 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:47,959 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:48,021 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:48,079 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:49,569 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:49,629 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:49,674 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:52,238 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:52,280 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:52,323 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:56,388 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:56,446 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:56,485 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 5, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:56,596 - INFO - Not found: Fifty Shades Darker by E.L. James
2025-10-23 13:49:56,597 - WARNING - No books found!
2025-10-23 13:49:56,603 - INFO - Final statistics: {'books_searched': 2, 'books_found': 0, 'downloads_found': 0, 'errors': 0, 'ssl_errors': 0, 'timeout_errors': 0}
